       5779;201001071730;    3;  907.1; -10.6; -10.6;  93.0; -11.5
       5779;201001071740;    3;  907.2; -10.5; -11.4;  92.9; -11.4
       5779;201001071750;    3;  907.3; -10.5; -12.0;  92.6; -11.5
       5779;201001071800;    3;  907.4; -10.7; -11.5;  92.3; -11.7
       5779;201001071810;    3;  907.6; -10.7; -11.7;  92.5; -11.7
       5779;201001071820;    3;  907.7; -10.8; -12.4;  92.1; -11.8
       5779;201001071830;    3;  907.8; -11.3; -12.6;  91.4; -12.4
       5779;201001071840;    3;  907.9; -11.3; -12.3;  92.2; -12.3
       5779;201001071850;    3;  907.9; -11.7; -13.1;  91.5; -12.8
       5779;201001071900;    3;  908.0; -11.8; -13.4;  91.5; -12.9
       5779;201001071910;    3;  908.0; -12.0; -13.9;  91.0; -13.2
       5779;201001071920;    3;  908.1; -11.9; -13.2;  91.9; -13.0
       5779;201001071930;    3;  908.2; -12.0; -14.0;  91.3; -13.1
       5779;201001071940;    3;  908.2; -11.9; -13.9;  91.6; -13.0
       5779;201001071950;    3;  908.3; -11.8; -13.4;  91.8; -12.9
       5779;201001072000;    3;  908.3; -11.3; -13.0;  92.6; -12.3
       5779;201001072010;    3;  908.5; -11.6; -13.8;  91.4; -12.7
       5779;201001072020;    3;  908.6; -12.0; -13.9;  91.3; -13.1
       5779;201001072030;    3;  908.7; -12.2; -14.2;  91.2; -13.3
       5779;201001072040;    3;  908.7; -12.2; -14.4;  91.3; -13.3
       5779;201001072050;    3;  908.9; -12.4; -14.8;  91.0; -13.6
       5779;201001072100;    3;  908.9; -11.9; -13.6;  92.1; -12.9
       5779;201001072110;    3;  908.8; -11.7; -14.1;  91.9; -12.8
       5779;201001072120;    3;  908.8; -11.6; -13.5;  91.9; -12.7
       5779;201001072130;    3;  908.8; -11.2; -12.6;  92.4; -12.2
       5779;201001072140;    3;  909.1; -11.3; -12.8;  92.0; -12.3
       5779;201001072150;    3;  909.1; -11.4; -13.1;  91.9; -12.5
       5779;201001072200;    3;  909.2; -11.1; -12.5;  92.4; -12.1
       5779;201001072210;    3;  909.4; -11.0; -12.0;  92.2; -12.0
       5779;201001072220;    3;  909.4; -11.0; -12.0;  92.1; -12.0
